# source,target -> direct edge
# id1,id2       -> undirected edge
source,target
769811,769881
765424,773491
775208,775199
765414,766144
766318,766144
771328,766477
769437,769493
765969,766048
765968,766042
765957,766144
775755,775905
765911,765915
773533,765594
775703,775500
770928,770646
765572,765630
774013,766144
766022,765915
766024,765915
774088,766144
765596,765594
767771,769881
766094,766144
765198,766144
775480,765630
775095,766144
766152,766166
766120,765952
765270,766144
766194,766144
769237,766477
765726,765630
775995,775905
772467,765630
765796,765912
765748,765912
769305,769493
764076,764065
767100,767058
775183,765628
765378,773038
775160,765628
766207,766144
766231,766144
769334,766477
769817,767237
769817,771921
773081,773038
773081,773003
765441,773038
765441,773491
765417,773038
765417,773491
765418,773038
765418,773491
765407,773491
765407,765235
765869,766144
765869,765853
773004,765596
767238,767237
767238,767058
771712,767771
775299,765628
775299,766144
765468,765507
764147,769493
764147,764065
772659,765572
773510,773491
773510,773492
772639,765630
772639,766144
773590,773533
761569,764117
761569,764065
773541,766318
765533,765628
765533,765630
765520,765507
765174,773038
765174,773491
765172,773491
765172,765186
768279,766388
768279,768852
774935,766144
774935,775199
765688,765572
764361,765198
769659,769528
765278,773038
765278,773491
765261,773038
765261,773491
765244,773038
765244,773491
774182,774013
765234,773491
765234,765294
765285,773038
765285,773491
772895,766457
772895,766144
763930,773038
763930,773491
772868,772946
765738,766357
765738,765630
765739,765596
766171,766144
775528,765952
775528,766144
772433,765630
772433,766144
775145,775095
765329,773038
765329,773491
765321,773038
765321,773491
774273,774013
765304,773038
765304,773491
765310,773038
765310,773491
772076,767771
771197,769237
775548,765952
775548,766144
766274,766318
769764,769305
770746,766388
770746,766477
765357,773038
765357,773491
772983,766152
765854,766042
765854,765853
772121,767771
764964,765198
771242,771328
773069,766274
765431,773491
765431,765378
765499,766274
773516,765764
773516,773533
765984,765912
765984,765911
765961,765912
765961,765911
774424,766274
773542,766402
773542,766231
767757,767771
765574,765688
765573,765688
764232,764361
764211,764361
772296,765688
772288,765688
772708,772452
772708,766152
764290,764361
764281,761569
767784,766477
767784,767771
764261,764117
764261,766194
769132,766388
769132,767771
766051,766319
766051,766207
772329,766457
772329,766144
774177,773003
774177,766094
775832,766357
775832,766207
764346,764361
764325,764361
766993,767237
766993,767100
775452,766402
775452,766207
766956,767238
770635,766388
770635,767771
775064,773003
775064,766094
773732,773003
773732,766094
770690,770624
770690,767771
773738,766144
773738,773533
764402,764361
775131,765764
775131,766231
772063,766477
772063,767771
772046,769493
772046,767771
765390,773491
765390,765378
765361,773491
765361,765378
772532,765533
770784,770624
770784,767771
765811,765887
765811,765911
775628,765630
775628,765507
774353,774375
774353,765912
774353,766318
765879,765961
772165,772046
766333,769583
766333,772121
773983,773732
775707,766094
775707,766152
766083,766051
775851,766094
775851,766207
772320,773038
772320,765630
772320,766152
775431,766402
775431,766144
775431,765507
766140,766357
766140,766319
766140,766207
771543,769132
775529,765952
775529,766171
774679,774424
775998,775905
775998,766261
775998,766207
763989,766261
763989,761569
765779,766402
765779,766144
765779,765596
772908,766261
772908,772868
775167,775095
775167,775299
774331,774424
773422,766094
773422,766274
767243,771824
767243,771921
767243,767058
767243,767771
765054,766457
765054,773069
767240,767238
767240,766993
765479,773038
765479,766094
765479,766274
765075,766457
765075,773069
767760,766388
767760,767784
765990,766140
773613,766094
773613,766207
773613,766274
775413,766357
775413,766318
775413,765507
773237,766292
773237,773069
765696,766457
765696,765780
765696,765764
765696,766231
775455,765952
775455,775590
775455,766171
765634,765574
765634,765573
774685,773038
774685,772708
772492,775480
772492,772467
772492,765533
775195,775223
775195,765628
775195,775145
774318,766357
774318,774424
764102,766144
764102,766261
764102,764076
764102,761569
774843,773038
774843,772718
774843,772708
774445,773038
774445,774353
773588,766340
773588,773541
773588,766274
774499,765696
773144,773237
774461,774375
774461,766152
774461,765869
771810,772143
771810,772165
766086,766402
766086,766083
766073,766402
766073,766083
765605,765696
763874,766144
763874,763989
772323,766457
772323,766022
772323,773081
773276,773237
765627,765719
765627,766207
765627,765533
767006,767771
767006,766956
772851,766144
772851,772908
774667,773038
774667,774353
775516,766340
775516,765952
775516,775590
775516,766171
765705,766457
765705,766318
765705,765596
765705,766207
775951,775755
775951,775998
774670,773038
774670,772738
774670,772708
775578,766340
775578,775517
775578,766094
775578,766152
764045,761569
764045,764261
776009,775755
776009,775998
765820,766207
765820,765779
773438,766207
773438,773422
774760,773038
774760,772738
774760,772708
775259,775095
775259,765696
765497,773491
765497,765479
772274,765630
772274,772868
772274,766274
773645,766144
773645,765780
773645,765596
773645,773516
766137,766086
766124,766086
775927,766357
775927,765414
775927,775998
765727,765820
775971,775832
775971,775998
775123,775095
775123,765696
775152,775223
775152,765628
775152,775095
775152,775131
765155,765186
765155,773588
765193,765294
765193,773588
774517,772462
774517,774445
773274,773038
773274,766340
773274,766152
773274,765499
775080,775152
775074,775145
775074,765696
765266,765235
765266,773588
775967,766261
775967,775755
775967,766207
775967,772121
767207,766956
767207,767243
767213,766956
767213,767243
775890,775755
775890,775971
775446,766318
775446,766207
775446,775578
776015,775998
776015,765990
776000,775755
776000,775927
764115,764102
764115,764045
764111,764102
764111,764045
764112,764102
764112,764045
773158,766340
773158,766261
773158,766152
773158,772868
773158,766274
775887,766318
775887,775851
775887,765990
775092,775195
775092,775152
776038,766318
776038,775998
776038,765990
773467,766184
773467,765957
773467,766022
773467,765748
773467,765854
767204,767207
767204,767213
765514,766231
765514,765854
765514,765820
774089,774375
774089,774013
774089,766152
774089,774499
775924,775887
774649,774353
774649,774499
775956,775755
775956,776015
775182,775092
764188,763989
764188,764115
764167,763989
764167,764112
774453,773038
774453,774353
774453,774499
775346,765198
775346,766152
775346,773516
775346,765390
775909,775755
775909,776038
764052,763989
764052,764111
772985,772908
772985,773158
764109,766357
764109,765414
764109,766231
764109,764102
764109,764045
774682,775500
774682,774499
774682,774667
