category,namespace,count
app,org.pfsw.application,1
bif,org.pfsw.bif,2
callback,org.pfsw.bif.callback,3
configuration,org.pfsw.bif.configuration,5
conversion,org.pfsw.bif.conversion,6
enums,org.pfsw.bif.enums,1
execution,org.pfsw.bif.execution,7
facet,org.pfsw.bif.facet,1
filter,org.pfsw.bif.filter,1
identifier,org.pfsw.bif.identifier,1
lifecycle,org.pfsw.bif.lifecycle,6
logic,org.pfsw.bif.logic,3
text,org.pfsw.bif.text,10
global,org.pfsw.tools.cda.base.global,2
model,org.pfsw.tools.cda.base.model,38
container,org.pfsw.tools.cda.base.model.container,10
mfilter,org.pfsw.tools.cda.base.model.filter,4
mprocessing,org.pfsw.tools.cda.base.model.processing,18
mspring,org.pfsw.tools.cda.base.model.spring,5
mutil,org.pfsw.tools.cda.base.model.util,9
mworkset,org.pfsw.tools.cda.base.model.workset,12
base,org.pfsw.tools.cda.base,1
xml,org.pfsw.tools.cda.base.odem.xml,1
butil,org.pfsw.tools.cda.base.util,9
espi,org.pfsw.tools.cda.plugin.export.spi,2
cxpi,org.pfsw.tools.cda.xpi,5
eclipse,org.pfsw.tools.cda.core.classpath.eclipse,11
comparators,org.pfsw.tools.cda.core.comparators,4
core,org.pfsw.tools.cda.core,2
dspi,org.pfsw.tools.cda.core.decompiler.spi,4
analyzer,org.pfsw.tools.cda.core.dependency.analyzer,27
bcel,org.pfsw.tools.cda.core.dependency.analyzer.bcel,5
amodel,org.pfsw.tools.cda.core.dependency.analyzer.model,15
aspring,org.pfsw.tools.cda.core.dependency.analyzer.spring,2
path,org.pfsw.tools.cda.core.dependency.path,5
export,org.pfsw.tools.cda.core.export,3
features,org.pfsw.tools.cda.core.features,1
init,org.pfsw.tools.cda.core.init,15
io,org.pfsw.tools.cda.core.io,1
workset,org.pfsw.tools.cda.core.io.workset,6
manalyzer,org.pfsw.tools.cda.core.method.analyzer,5
aspi,org.pfsw.tools.cda.core.method.analyzer.spi,1
cprocessing,org.pfsw.tools.cda.core.processing,12
resolver,org.pfsw.tools.cda.core.resolver,16
cspi,org.pfsw.tools.cda.core.spi,1
danalyzer,org.pfsw.tools.cda.decompiler.analyzer,24
decompiler,org.pfsw.tools.cda.decompiler,2
bytecode,org.pfsw.tools.cda.decompiler.bytecode,23
expressions,org.pfsw.tools.cda.decompiler.expressions,44
flow,org.pfsw.tools.cda.decompiler.flow,46
jvm,org.pfsw.tools.cda.decompiler.jvm,11
type,org.pfsw.tools.cda.decompiler.type,8
dutil,org.pfsw.tools.cda.decompiler.util,9
