category,namespace,count
cda,org.pfsw.application,1
util,org.pfsw.bif,2
util,org.pfsw.bif.callback,3
util,org.pfsw.bif.configuration,5
util,org.pfsw.bif.conversion,6
util,org.pfsw.bif.enums,1
util,org.pfsw.bif.execution,7
util,org.pfsw.bif.facet,1
util,org.pfsw.bif.filter,1
util,org.pfsw.bif.identifier,1
util,org.pfsw.bif.lifecycle,6
util,org.pfsw.bif.logic,3
util,org.pfsw.bif.text,10
util,org.pfsw.tools.cda.base.global,2
core,org.pfsw.tools.cda.base.model,38
core,org.pfsw.tools.cda.base.model.container,10
core,org.pfsw.tools.cda.base.model.filter,4
core,org.pfsw.tools.cda.base.model.processing,18
core,org.pfsw.tools.cda.base.model.spring,5
core,org.pfsw.tools.cda.base.model.util,9
core,org.pfsw.tools.cda.base.model.workset,12
util,org.pfsw.tools.cda.base,1
util,org.pfsw.tools.cda.base.odem.xml,1
util,org.pfsw.tools.cda.base.util,9
util,org.pfsw.tools.cda.plugin.export.spi,2
util,org.pfsw.tools.cda.xpi,5
core,org.pfsw.tools.cda.core.classpath.eclipse,11
core,org.pfsw.tools.cda.core.comparators,4
core,org.pfsw.tools.cda.core,2
core,org.pfsw.tools.cda.core.decompiler.spi,4
core,org.pfsw.tools.cda.core.dependency.analyzer,27
core,org.pfsw.tools.cda.core.dependency.analyzer.bcel,5
core,org.pfsw.tools.cda.core.dependency.analyzer.model,15
core,org.pfsw.tools.cda.core.dependency.analyzer.spring,2
core,org.pfsw.tools.cda.core.dependency.path,5
core,org.pfsw.tools.cda.core.export,3
core,org.pfsw.tools.cda.core.features,1
core,org.pfsw.tools.cda.core.init,15
core,org.pfsw.tools.cda.core.io,1
core,org.pfsw.tools.cda.core.io.workset,6
core,org.pfsw.tools.cda.core.method.analyzer,5
core,org.pfsw.tools.cda.core.method.analyzer.spi,1
core,org.pfsw.tools.cda.core.processing,12
core,org.pfsw.tools.cda.core.resolver,16
core,org.pfsw.tools.cda.core.spi,1
decomp,org.pfsw.tools.cda.decompiler.analyzer,24
decomp,org.pfsw.tools.cda.decompiler,2
decomp,org.pfsw.tools.cda.decompiler.bytecode,23
decomp,org.pfsw.tools.cda.decompiler.expressions,44
decomp,org.pfsw.tools.cda.decompiler.flow,46
decomp,org.pfsw.tools.cda.decompiler.jvm,11
decomp,org.pfsw.tools.cda.decompiler.type,8
decomp,org.pfsw.tools.cda.decompiler.util,9
decomp,org.pfsw.tools.cda.decompiler.adapter,2
cda,org.pfsw.tools.cda.ext.export.xml,2
cda,org.pfsw.tools.cda,2
cda,org.pfsw.tools.cda.ui,14
cda,org.pfsw.tools.cda.ui.alias.editor,6
cda,org.pfsw.tools.cda.ui.comp.editor,6
cda,org.pfsw.tools.cda.ui.comp.wizard,5
cda,org.pfsw.tools.cda.ui.comp.wizard.containers,3
cda,org.pfsw.tools.cda.ui.comp.wizard.packages,6
cda,org.pfsw.tools.cda.ui.darc,2
cda,org.pfsw.tools.cda.ui.darc.commands,8
cda,org.pfsw.tools.cda.ui.dependency,11
cda,org.pfsw.tools.cda.ui.dependency.cycles,5
cda,org.pfsw.tools.cda.ui.dependency.table.classes,6
cda,org.pfsw.tools.cda.ui.display,1
cda,org.pfsw.tools.cda.ui.dnd,2
cda,org.pfsw.tools.cda.ui.edit.table,6
graph,org.pfsw.tools.cda.ui.graph,28
graph,org.pfsw.tools.cda.ui.graph.anel,7
graph,org.pfsw.tools.cda.ui.graph.classes,8
graph,org.pfsw.tools.cda.ui.graph.containers,7
graph,org.pfsw.tools.cda.ui.graph.packages,7
graph,org.pfsw.tools.cda.ui.graph.pathtracker,4
cda,org.pfsw.tools.cda.ui.info,14
cda,org.pfsw.tools.cda.ui.info.decompiled,2
cda,org.pfsw.tools.cda.ui.info.resources,5
cda,org.pfsw.tools.cda.ui.input.dialog,3
cda,org.pfsw.tools.cda.ui.joi,1
cda,org.pfsw.tools.cda.ui.main,15
cda,org.pfsw.tools.cda.ui.main.tree,16
cda,org.pfsw.tools.cda.ui.packages.selection,6
cda,org.pfsw.tools.cda.ui.plugin.support,1
