mode,k,algorithm,acc,acc_sdev,n_labels[b],n_labels[u],n_labels[r],n_labels[c],n_labels[g],n_labels,b.b,b.u,b.r,b.c,b.g,u.b,u.u,u.r,u.c,u.g,r.b,r.u,r.r,r.c,r.g,c.b,c.u,c.r,c.c,c.g,g.b,g.u,g.r,g.c,g.g
info,0,lgc-hf,0,0,168,106,51,156,196,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rand,1,lgc,0.638,0.0873,1,1,1,1,1,5,0.425,0.261,0.147,0.167,0.0,0.275,0.428,0.137,0.131,0.029,0.076,0.12,0.695,0.109,0.0,0.098,0.104,0.216,0.582,0.0,0.004,0.007,0.014,0.002,0.973
rand,2,lgc,0.692,0.0787,2,2,2,2,2,10,0.526,0.179,0.179,0.116,0.0,0.307,0.445,0.167,0.062,0.019,0.097,0.069,0.78,0.054,0.0,0.099,0.036,0.202,0.663,0.0,0.004,0.005,0.005,0.0,0.986
rand,3,lgc,0.729,0.0598,3,3,3,3,3,15,0.532,0.196,0.159,0.114,0.0,0.259,0.528,0.137,0.058,0.018,0.075,0.059,0.828,0.038,0.0,0.071,0.022,0.162,0.745,0.0,0.005,0.003,0.004,0.0,0.988
rand,4,lgc,0.743,0.057,4,4,4,4,4,20,0.56,0.182,0.147,0.111,0.0,0.255,0.572,0.102,0.053,0.019,0.057,0.056,0.857,0.029,0.0,0.073,0.017,0.163,0.747,0.0,0.007,0.004,0.002,0.0,0.987
rand,5,lgc,0.76,0.0479,5,5,5,5,5,25,0.594,0.168,0.132,0.107,0.0,0.256,0.589,0.093,0.052,0.011,0.059,0.053,0.861,0.027,0.0,0.067,0.013,0.143,0.778,0.0,0.007,0.005,0.002,0.0,0.986
rand,6,lgc,0.779,0.0445,6,6,6,6,6,30,0.621,0.165,0.115,0.099,0.0,0.251,0.62,0.078,0.045,0.007,0.054,0.063,0.859,0.025,0.0,0.053,0.013,0.121,0.813,0.0,0.007,0.004,0.002,0.0,0.987
rand,0.01,lgc,0.726,0.0642,2,2,1,2,2,9,0.549,0.234,0.04,0.177,0.0,0.333,0.512,0.052,0.08,0.023,0.151,0.118,0.487,0.244,0.0,0.093,0.038,0.038,0.83,0.0,0.004,0.005,0.004,0.001,0.985
rand,0.02,lgc,0.771,0.043,4,3,2,4,4,17,0.687,0.112,0.033,0.168,0.0,0.385,0.475,0.038,0.08,0.022,0.156,0.079,0.587,0.178,0.0,0.083,0.013,0.028,0.877,0.0,0.006,0.003,0.003,0.0,0.988
rand,0.03,lgc,0.777,0.0457,6,4,2,5,6,23,0.794,0.077,0.019,0.11,0.0,0.455,0.451,0.025,0.05,0.02,0.256,0.064,0.443,0.238,0.0,0.109,0.015,0.019,0.857,0.0,0.007,0.002,0.002,0.0,0.988
rand,0.04,lgc,0.792,0.0342,7,5,3,7,8,30,0.767,0.071,0.018,0.144,0.0,0.403,0.489,0.018,0.065,0.024,0.219,0.042,0.507,0.233,0.0,0.068,0.006,0.017,0.909,0.0,0.008,0.002,0.001,0.0,0.989
rand,0.05,lgc,0.795,0.0384,9,6,3,8,10,36,0.819,0.058,0.006,0.117,0.0,0.433,0.487,0.008,0.051,0.021,0.285,0.047,0.446,0.222,0.0,0.089,0.008,0.009,0.894,0.0,0.009,0.001,0.001,0.0,0.99
maxdeg,1,lgc,0.696,0.0,1,1,1,1,1,5,0.405,0.363,0.143,0.089,0.0,0.075,0.698,0.094,0.094,0.038,0.059,0.078,0.824,0.039,0.0,0.0,0.077,0.314,0.609,0.0,0.0,0.0,0.01,0.0,0.99
maxdeg,2,lgc,0.73,0.0,2,2,2,2,2,10,0.643,0.214,0.089,0.054,0.0,0.245,0.651,0.075,0.009,0.019,0.098,0.078,0.824,0.0,0.0,0.173,0.045,0.244,0.538,0.0,0.0,0.0,0.01,0.0,0.99
